GSRM v2.1,"78 13' 52.64"" S","78 21' 33.4"" E",8.45,240.96,-4.1,-7.39,AN(NNR)
,-78.231289,78.359277,,,,,
GSRM v2.1,"78 13' 52.64"" S","101 38' 26.6"" E",9.87,209.25,-8.61,-4.82,AN(NNR)
,-78.231289,101.640723,,,,,
GSRM v2.1,"78 6' 21.41"" S",0 E,11.3,351.41,11.18,-1.69,AN(NNR)
,-78.105947,0.000000,,,,,
GSRM v2.1,"78 6' 21.41"" S",180 E,15.69,135.44,-11.18,11.01,AN(NNR)
,-78.105947,180.000000,,,,,
GSRM v2.1,"77 35' 44.23"" S","129 39' 47.79"" W",17.43,97.05,-2.14,17.3,AN(NNR)
,-77.595620,-129.663274,,,,,
GSRM v2.1,"77 35' 44.23"" S","50 20' 12.21"" W",15.23,37.22,12.13,9.21,AN(NNR)
,-77.595620,-50.336726,,,,,
GSRM v2.1,"77 35' 44.23"" S","50 20' 12.21"" E",7.89,285.74,2.14,-7.59,AN(NNR)
,-77.595620,50.336726,,,,,
GSRM v2.1,"77 35' 44.23"" S","129 39' 47.79"" E",12.14,177.65,-12.13,0.5,AN(NNR)
,-77.595620,129.663274,,,,,
GSRM v2.1,"77 34' 2.38"" S","112 21' 37.81"" W",17.46,84.25,1.75,17.37,AN(NNR)
,-77.567327,-112.360502,,,,,
GSRM v2.1,"77 34' 2.38"" S","67 38' 22.19"" W",16.2,50.75,10.25,12.55,AN(NNR)
,-77.567327,-67.639498,,,,,
GSRM v2.1,"77 34' 2.38"" S","67 38' 22.19"" E",7.83,257.10,-1.75,-7.64,AN(NNR)
,-77.567327,67.639498,,,,,
GSRM v2.1,"77 34' 2.38"" S","112 21' 37.81"" E",10.63,195.35,-10.25,-2.82,AN(NNR)
,-77.567327,112.360502,,,,,
GSRM v2.1,"77 5' 42.72"" S","153 40' 6.39"" W",17.11,114.67,-7.14,15.55,AN(NNR)
,-77.095201,-153.668442,,,,,
GSRM v2.1,"77 5' 42.72"" S","26 19' 53.61"" W",13.57,18.09,12.9,4.21,AN(NNR)
,-77.095201,-26.331558,,,,,
GSRM v2.1,"77 5' 42.72"" S","26 19' 53.61"" E",8.98,322.64,7.14,-5.45,AN(NNR)
,-77.095201,26.331558,,,,,
GSRM v2.1,"77 5' 42.72"" S","153 40' 6.39"" E",14.17,155.48,-12.9,5.88,AN(NNR)
,-77.095201,153.668442,,,,,
GSRM v2.1,"77 4' 24.97"" S","162 49' 50.88"" W",16.78,121.48,-8.76,14.31,AN(NNR)
,-77.073604,-162.830801,,,,,
GSRM v2.1,"77 4' 24.97"" S","17 10' 9.12"" W",12.79,10.04,12.6,2.23,AN(NNR)
,-77.073604,-17.169199,,,,,
GSRM v2.1,"77 4' 24.97"" S","17 10' 9.12"" E",9.72,334.40,8.76,-4.2,AN(NNR)
,-77.073604,17.169199,,,,,
GSRM v2.1,"77 4' 24.97"" S","162 49' 50.88"" E",14.86,147.96,-12.6,7.88,AN(NNR)
,-77.073604,162.830801,,,,,
GSRM v2.1,"76 47' 52.67"" S","144 35' 3.16"" W",17.45,107.85,-5.35,16.61,AN(NNR)
,-76.797964,-144.584210,,,,,
GSRM v2.1,"76 47' 52.67"" S","35 24' 56.84"" W",14.34,26.15,12.87,6.32,AN(NNR)
,-76.797964,-35.415790,,,,,
