#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ZU|NZ26|-46.997898|174.498398|-1316.0|SIO_OBS_ID: 121|2009-02-15T00:00:00|2010-02-11T23:59:59
XD|PGOB|-7.526502|110.45359|2243.0|Pogog|2001-01-27T05:28:58|2001-12-31T23:59:59
S1|AUMTS|-35.3188|148.9964|667.0|Mt Stromlo|2011-09-01T02:22:00|2599-12-31T23:59:59
YC|SBB7|4.96355|117.802818|197.0|Danum|2018-03-14T05:00:00|2020-01-11T03:00:00
GE|CISI|-7.5557|107.8153|544.0|GEOFON Station GEOFON Station Cisomped, Java|2008-07-21T00:00:00|2599-12-31T23:59:59
IA|KHK|-8.36404|115.60964|220.0|Station Kahang-Kahang, Bali|2007-04-03T00:00:00|2599-12-31T23:59:59
IA|LHSI|-3.8267|103.5233|183.68|Station Lahat, Sumatra|2008-01-01T00:00:00|2599-12-31T23:59:59
XF|SAIP|15.2149|145.751907|273.0|CNMI SAIP, Land Sta|2012-02-23T00:00:00|2013-02-15T23:59:59
YS|HADA|-8.3722|123.5454|29.0|Hadakewa village, central Lembata Island Indonesia|2014-11-01T00:00:00|2016-12-31T23:59:59
GE|TOLI2|1.11119|120.78174|51.0|GEOFON Station Tolitoli, Sulawesi, Indonesia|2012-07-13T00:00:00|2599-12-31T23:59:59
ZU|NZ25|-45.997799|174.750397|-1727.0|SIO_OBS_ID: 117|2009-02-15T00:00:00|2010-02-12T23:59:59
YO|TIRT4|-39.514709|174.333267|120.0|TIRT4|2001-10-01T00:00:00|2002-02-01T00:30:00
YS|SINA|-8.1838|122.9124|5.0|Sinamalaka village, ne Flores Island Indonesia|2014-10-29T00:00:00|2016-12-31T23:59:59
ZB|PDRK|-1.44|101.359596|320.0|Padang Darek|2007-12-09T00:00:00|2008-10-19T23:00:00
Z1|MOAL|-18.566299|179.951599|9.0|Moala, Lau Is., Fiji|2009-10-28T00:00:00|2010-12-31T23:59:59
AU|PSAA3|-21.578085|119.854874|315.0|Pilbara Seismic Array Element A3|2011-01-01T00:00:00|2599-12-31T23:59:59
XT|TKK|7.4472|151.886902|1.0|Chuuk Micronesia|1994-01-09T00:50:56|1996-12-31T23:59:59
AU|CTA|-20.0876|146.25|426.0|Charters Towers, Queensland|1994-10-20T00:00:00|2599-12-31T23:59:59
AU|FORT|-30.779|128.059|165.0|Forrest, WA|1994-01-01T00:00:00|2599-12-31T23:59:59
Z1|KDVU|-19.046499|178.165695|83.0|Kadavu, Fiji|2009-10-29T00:00:00|2010-12-31T23:59:59
7B|SB01|-25.792299|139.588699|0.0|QUEENSLAND, AUSTRALIA|1993-11-19T00:18:33|1994-01-28T23:08:34
ZU|NZ16|-41.749901|169.2491|-1063.0|SIO_OBS_ID: 096|2009-02-06T00:00:00|2010-01-30T23:59:59
XO|SAP3|15.18375|145.746567|410.0|Saipan 3|2003-05-03T07:57:41|2004-12-31T23:59:59
ZN|KAPU|-9.2864|150.780304|11.0|Kapukapuna_Mission, Papua New Guinea|2010-03-13T00:00:00|2011-12-31T23:59:59
3B|WYKM6|-31.21884|117.6336|352.0|3B-WYKM6|2024-08-22T00:00:00|2025-01-16T00:00:00
AU|KDU|-12.6869|132.472702|46.0|Kakadu, NT|2008-11-27T00:00:00|2599-12-31T23:59:59
XU|POKA|-45.785702|170.541504|270.0|Peter Koons House|1996-11-14T06:14:14|1996-12-04T01:16:59
Z6|OH05|-9.7629|111.1027|-2824.0|Station OH05, Indonesia|2004-05-02T00:00:00|2004-10-03T00:00:00
ZU|NZ21|-39.5005|170.000107|-676.0|SIO_OBS_ID: 080|2009-02-08T00:00:00|2010-01-27T23:59:59
YY|OBS02|16.899799|146.550095|-3492.0|LDEO OBS02|2003-06-21T00:00:00|2003-07-31T23:59:59
YC|SBF2|6.47376|116.890694|396.0|Kg.|2018-03-09T05:30:00|2020-01-08T10:10:00
YY|OBS19|17.8577|145.716904|-2882.0|LDEO OBS19|2003-06-22T00:00:00|2004-05-07T23:59:59
IA|KBKI|-3.2995|116.1668|65.0|Station Kotabaru, Kalimantan|2008-01-01T00:00:00|2599-12-31T23:59:59
XB|MORB|-41.5695|172.910599|397.0|-|2001-12-24T00:00:00|2002-12-31T23:59:59
7B|SA07|-26.0327|146.781693|0.0|QUEENSLAND, AUSTRALIA|1993-05-17T03:26:31|1993-10-02T08:20:29
ND|KOUNC|-20.5507|164.2861|88.0|Koumac|2011-03-17T00:00:00|2500-12-31T23:59:59
IA|RAPI|-0.4102|130.8211|108.6|Station RAPI|2006-01-01T00:00:00|2599-12-31T23:59:59
AU|PSAA2|-21.562828|119.846695|330.0|Pilbara Seismic Array Element A2|2011-01-01T00:00:00|2599-12-31T23:59:59
XB|SUVA|-18.1147|178.453598|50.0|Suva, Fiji|1994-03-02T02:06:09|1995-12-31T23:59:59
ZN|AGAN|-9.9312|149.388107|1001.0|Agaun, Papua New Guinea|2010-03-25T00:00:00|2011-12-31T23:59:59
Z6|OH11|-9.0587|110.7899|-3224.0|Station OH11, Indonesia|2004-05-03T00:00:00|2004-10-03T00:00:00
S1|AUWSH|-27.3977|153.0372|60.0|Wavell State High School|2013-06-24T00:00:00|2599-12-31T23:59:59
XB|WAG00|-42.066799|172.930801|942.0|-|2001-04-17T00:00:00|2002-12-31T23:59:59
ND|LIFNC|-20.7771|167.2402|33.0|Lifou|2010-08-28T00:00:00|2500-12-31T23:59:59
IA|BBKI|-3.4625|114.8411|109.88|Station Banjar Baru, Kalimantan|2007-01-01T00:00:00|2599-12-31T23:59:59
YS|MTNG|-8.2969|125.1025|108.0|Maritaeng village, e Alor Island Indonesia|2014-11-12T00:00:00|2016-12-31T23:59:59
IA|PKKI|-2.2411|113.9722|65.0|Station Palangkaraya, Kalimantan, BMG, Indonesia|2007-01-01T00:00:00|2599-12-31T23:59:59
IA|MJSI|-3.5008|118.9149|306.8|Station Majene, Sulawesi|2007-01-01T00:00:00|2010-04-20T00:00:00
IA|SMPI|-1.981002|138.71|111.0|Station Sarmi, Irian Jaya|2008-01-01T00:00:00|2599-12-31T23:59:59
Z6|OS02|-9.1901|109.5366|-3135.0|Station OS02, Indonesia|2004-05-02T00:00:00|2004-10-02T00:00:00
XD|BBU|-9.376595|150.362061|137.0|Bolu Bolu, Goodenough Island|1999-07-20T04:54:02|2000-12-31T23:59:59
YO|BAYT4|-39.248638|173.776047|14.0|BAYT4|2001-10-01T00:00:00|2002-02-01T01:50:00
YW|MSWL5|-32.284211|150.78612|271.0|Rapid deployment kit|2024-09-17T00:00:00|2025-12-25T23:59:59
ZN|H|-8.9998|149.667694|-557.0|SIO OBS ID H|2010-03-03T00:00:00|2011-01-27T23:59:59
NZ|FWVZ|-39.254945374|175.55295183|2043.0|Far West|1999-05-11T00:00:00|2599-12-31T23:59:59
XQ|4990|-38.696499|176.184204|482.5|4990|2002-07-23T00:00:00|2002-11-02T00:00:00
IA|LEM|-6.8266|107.61756|1293.0|Station Lembang, Indonesia|2005-01-01T00:00:00|2599-12-31T23:59:59
ZN|PMNI|-9.7562|149.467102|160.0|Pumani, Papua New Guinea|2010-03-26T00:00:00|2011-12-31T23:59:59
IA|MTKI|-0.9418|114.8959|100.11|Station Muara Teweh, Kalimantan, Indonesia (BMKG)|2008-06-21T00:00:00|2599-12-31T23:59:59
IA|KASI|-5.5236|104.4967|50.0|Station Kota Agung, Sumatra|2008-01-01T00:00:00|2599-12-31T23:59:59
7B|SB08|-37.4328|141.975693|0.0|QUEENSLAND, AUSTRALIA|1993-11-25T05:07:59|1994-04-14T02:09:15
S1|AUDHS|-12.44|130.833|26.0|Darwin High School|2013-08-26T00:00:00|2599-12-31T23:59:59
ZN|SIRI|-9.8439|149.708801|22.0|Siri_Siri, Papua New Guinea|2010-03-14T00:00:00|2011-12-31T23:59:59
AU|WR3|-19.948503|134.386917|376.5|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
ND|PIENC|-20.93877|167.21797|35.0|Pie|2018-07-24T00:00:00|2020-07-29T04:45:00
IA|KRK|-8.1521|112.4506|330.26|Station Karangkates, Indonesia|2006-01-01T00:00:00|2599-12-31T23:59:59
XC|JACA|-43.9688|168.609406|0.0|Jackson Head|1995-11-15T22:38:25|1996-12-31T23:59:59
IA|CNJI|-7.309|107.1296|589.0|Station Cibinong, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
S1|AUTKS|-33.7846|151.0254|95.0|The King's School|2014-02-27T00:00:00|2599-12-31T23:59:59
XQ|4580|-38.948002|176.513199|695.5|4580|2002-07-21T00:00:00|2002-11-01T00:00:00
YY|OBS52|19.450399|145.600098|-2475.0|LDEO OBS52|2003-06-17T00:00:00|2003-07-31T23:59:59
IA|NGJI|-7.3676|111.4612|149.0|Station Ngawi, Java|2008-01-01T00:00:00|2599-12-31T23:59:59
ZU|NZ04|-41.999298|165.502396|-4470.0|SIO_OBS_ID: 142|2009-02-02T00:00:00|2010-02-06T23:59:59
7B|SA05|-23.2005|144.272293|0.0|QUEENSLAND, AUSTRALIA|1993-05-15T23:45:57|1993-10-03T01:02:58
ZN|WANI|-9.3378|149.154694|23.0|Wanigela, Papua New Guinea|2010-03-17T00:00:00|2011-12-31T23:59:59
2O|BTL09|-16.25895|134.86316|178.0|Tanumbirini, NT|2021-08-28T00:00:00|2025-12-31T00:00:00
AU|GHSS|-34.919399|138.6017|42.0|Government House JUMP, SA|2009-01-01T00:00:00|2599-12-31T23:59:59
XC|HOKA|-42.7411|171.091507|240.0|Hokitika|1995-11-13T04:03:29|1996-12-31T23:59:59
